*******************************************************************************,,,,
Ephemeris / WWW_USER Sat Feb 16 02:24:16 2019 Pasadena, USA      / Horizons    ,,,
*******************************************************************************,,,,
Target body name: Pluto (999)                     {source: plu055l_merged},,,,
Center body name: Sun (10)                        {source: plu055l_merged},,,,
Center-site name: BODY CENTER,,,,
*******************************************************************************,,,,
Start time      : A.D. 1977-Sep-06 00:00:00.0000 TDB,,,,
Stop  time      : A.D. 2019-Sep-06 00:00:00.0000 TDB,,,,
Step-size       : 1 calendar months,,,,
*******************************************************************************,,,,
Center geodetic : 0.00000000,0,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    ,,
Output units    : AU-D                                                         ,,,,
Output type     : GEOMETRIC cartesian states,,,,
Output format   : 1 (position only),,,,
Reference frame : ICRF/J2000.0,,,,
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 ,,,,
*******************************************************************************,,,,
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z
**************************************************************************************************************************,,,,
$$SOE,,,,
2443392.500000000,A.D. 1977-Sep-06 00:00:00.0000,-2.822454678927613E+01,-7.136018160831232E+00,8.927321857517525E+00
2443422.500000000,A.D. 1977-Oct-06 00:00:00.0000,-2.818873969958552E+01,-7.233312837190510E+00,8.927305575038170E+00
2443453.500000000,A.D. 1977-Nov-06 00:00:00.0000,-2.815147161060390E+01,-7.333790672286034E+00,8.927222066601098E+00
2443483.500000000,A.D. 1977-Dec-06 00:00:00.0000,-2.811515180291787E+01,-7.430979992968280E+00,8.927066498559149E+00
2443514.500000000,A.D. 1978-Jan-06 00:00:00.0000,-2.807733275261776E+01,-7.531351949899345E+00,8.926793539613476E+00
2443545.500000000,A.D. 1978-Feb-06 00:00:00.0000,-2.803921999344174E+01,-7.631653914592635E+00,8.926423232506544E+00
2443573.500000000,A.D. 1978-Mar-06 00:00:00.0000,-2.800453981995220E+01,-7.722166105188595E+00,8.926034107898921E+00
2443604.500000000,A.D. 1978-Apr-06 00:00:00.0000,-2.796589365621888E+01,-7.822343099775989E+00,8.925505096421919E+00
2443634.500000000,A.D. 1978-May-06 00:00:00.0000,-2.792821116032632E+01,-7.919227103534719E+00,8.924884518536912E+00
2443665.500000000,A.D. 1978-Jun-06 00:00:00.0000,-2.788898087424155E+01,-8.019253309172571E+00,8.924169015633939E+00
2443695.500000000,A.D. 1978-Jul-06 00:00:00.0000,-2.785074581252774E+01,-8.115975539063040E+00,8.923412329346940E+00
2443726.500000000,A.D. 1978-Aug-06 00:00:00.0000,-2.781096528166249E+01,-8.215868667730161E+00,8.922532016230766E+00
2443757.500000000,A.D. 1978-Sep-06 00:00:00.0000,-2.777089687136415E+01,-8.315691445932194E+00,8.921550958311748E+00
2443787.500000000,A.D. 1978-Oct-06 00:00:00.0000,-2.773183452387411E+01,-8.412219179712723E+00,8.920494511981275E+00
2443818.500000000,A.D. 1978-Nov-06 00:00:00.0000,-2.769118484792208E+01,-8.511873217752985E+00,8.919332683979039E+00
2443848.500000000,A.D. 1978-Dec-06 00:00:00.0000,-2.765158245906535E+01,-8.608235585699429E+00,8.918143806148121E+00
2443879.500000000,A.D. 1979-Jan-06 00:00:00.0000,-2.761038487763690E+01,-8.707752873636176E+00,8.916810724257815E+00
2443910.500000000,A.D. 1979-Feb-06 00:00:00.0000,-2.756889423069633E+01,-8.807194494830254E+00,8.915375720017765E+00
2443938.500000000,A.D. 1979-Mar-06 00:00:00.0000,-2.753114323423209E+01,-8.896917525390860E+00,8.913996149251846E+00
2443969.500000000,A.D. 1979-Apr-06 00:00:00.0000,-2.748909948144255E+01,-8.996192490322988E+00,8.912401519053400E+00
2443999.500000000,A.D. 1979-May-06 00:00:00.0000,-2.744814184251303E+01,-9.092199801473715E+00,8.910754436631709E+00
2444030.500000000,A.D. 1979-Jun-06 00:00:00.0000,-2.740551641871996E+01,-9.191304434958830E+00,8.908957366802584E+00
2444060.500000000,A.D. 1979-Jul-06 00:00:00.0000,-2.736397995088275E+01,-9.287109700402043E+00,8.907141815546494E+00
2444091.500000000,A.D. 1979-Aug-06 00:00:00.0000,-2.732079276521291E+01,-9.386033908853939E+00,8.905186983148214E+00
2444122.500000000,A.D. 1979-Sep-06 00:00:00.0000,-2.727732219714439E+01,-9.484876881754900E+00,8.903137088522874E+00
2444152.500000000,A.D. 1979-Oct-06 00:00:00.0000,-2.723497837945242E+01,-9.580457784231779E+00,8.901045273779980E+00
2444183.500000000,A.D. 1979-Nov-06 00:00:00.0000,-2.719092108427966E+01,-9.679112975486586E+00,8.898794860316523E+00
2444213.500000000,A.D. 1979-Dec-06 00:00:00.0000,-2.714800309394001E+01,-9.774477620606918E+00,8.896545410180334E+00
2444244.500000000,A.D. 1980-Jan-06 00:00:00.0000,-2.710338857974569E+01,-9.872943060040487E+00,8.894135679339053E+00
2444275.500000000,A.D. 1980-Feb-06 00:00:00.0000,-2.705848971258373E+01,-9.971320078654394E+00,8.891627960489938E+00
2444304.500000000,A.D. 1980-Mar-06 00:00:00.0000,-2.701621253657190E+01,-1.006326726609485E+01,8.889167309660802E+00
2444335.500000000,A.D. 1980-Apr-06 00:00:00.0000,-2.697073457731578E+01,-1.016143788549323E+01,8.886476382098904E+00
2444365.500000000,A.D. 1980-May-06 00:00:00.0000,-2.692646009933735E+01,-1.025634760548309E+01,8.883803934273857E+00
